density,temperature,carrier_fraction,relative_drift,pressure,energy_density,enthalpy_per_particle,mobility_00,mobility_01,mobility_11,drift_energy
0.08,0.08,0.025,0.0016,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023665999291012076,0.019771464102594494,0.07483460857170052,0.00037477171972707626
0.08,0.08,0.025,0.0032,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023665999291012076,0.019771464102594494,0.07483460857170052,0.0015062710013311884
0.08,0.08,0.025,0.0048000000000000004,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023665999291012076,0.019771464102594494,0.07483460857170052,0.0034160502120809864
0.08,0.08,0.025,0.0064,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023665999291012076,0.019771464102594494,0.07483460857170052,0.006140029964090885
0.08,0.08,0.025,0.008,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023665999291012076,0.019771464102594494,0.07483460857170052,0.009728499114321068
0.08,0.08,0.025,0.009600000000000001,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023665999291012076,0.019771464102594494,0.07483460857170052,0.014246114764577489
0.08,0.08,0.025,0.0112,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023665999291012076,0.019771464102594494,0.07483460857170052,0.019771902261511848
0.08,0.08,0.025,0.0128,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023665999291012076,0.019771464102594494,0.07483460857170052,0.026399255196621653
0.08,0.08,0.025,0.014400000000000001,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023665999291012076,0.019771464102594494,0.07483460857170052,0.034235935406250126
0.08,0.08,0.025,0.016,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023665999291012076,0.019771464102594494,0.07483460857170052,0.0434040729715863
0.08,0.08,0.04666666666666667,0.0,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.0
0.08,0.08,0.04666666666666667,0.0016,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.00037878162290111086
0.08,0.08,0.04666666666666667,0.0032,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.0015223874811808227
0.08,0.08,0.04666666666666667,0.0048000000000000004,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.003452600543568273
0.08,0.08,0.04666666666666667,0.0064,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.006205725757945356
0.08,0.08,0.04666666666666667,0.008,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.009832590051346726
0.08,0.08,0.04666666666666667,0.009600000000000001,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.014398542329959801
0.08,0.08,0.04666666666666667,0.0112,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.019983453479124735
0.08,0.08,0.04666666666666667,0.0128,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.02668171636333448
0.08,0.08,0.04666666666666667,0.014400000000000001,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.0346022458262347
0.08,0.08,0.04666666666666667,0.016,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.023919215744331552,0.019983010632087277,0.07563530808728251,0.04386847869062386
0.08,0.08,0.06833333333333333,0.0,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.024172432197651018,0.020194557161580057,0.07643600760286448,0.0
0.08,0.08,0.06833333333333333,0.0016,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.024172432197651018,0.020194557161580057,0.07643600760286448,0.00038279152607514536
0.08,0.08,0.06833333333333333,0.0032,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.024172432197651018,0.020194557161580057,0.07643600760286448,0.0015385039610304565
0.08,0.08,0.06833333333333333,0.0048000000000000004,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.024172432197651018,0.020194557161580057,0.07643600760286448,0.0034891508750555587
0.08,0.08,0.06833333333333333,0.0064,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.024172432197651018,0.020194557161580057,0.07643600760286448,0.0062714215517998256
0.08,0.08,0.06833333333333333,0.008,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.024172432197651018,0.020194557161580057,0.07643600760286448,0.009936680988372382
0.08,0.08,0.06833333333333333,0.009600000000000001,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.024172432197651018,0.020194557161580057,0.07643600760286448,0.01455096989534211
0.08,0.08,0.06833333333333333,0.0112,0.00639999999999983,0.09048690165471192,1.2110862706838967,0.024172432197651018,0.020194557161580057,0.07643600760286448,0.020195004696737618
